p,mu
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,1
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0.1
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.001,0
0.002,1
0.002,1
0.002,1
0.002,1
0.002,0.1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
0.002,1
